,sst,day,month,year
0,285.4465,1,1,1979
1,285.42285,2,1,1979
2,285.41458,3,1,1979
3,285.40683,4,1,1979
4,285.40015,5,1,1979
5,285.39252,6,1,1979
6,285.3832,7,1,1979
7,285.36893,8,1,1979
8,285.34943,9,1,1979
9,285.32617,10,1,1979
10,285.30115,11,1,1979
11,285.27094,12,1,1979
12,285.23813,13,1,1979
13,285.20828,14,1,1979
14,285.18732,15,1,1979
15,285.16867,16,1,1979
16,285.153,17,1,1979
17,285.1376,18,1,1979
18,285.11813,19,1,1979
19,285.1018,20,1,1979
20,285.08875,21,1,1979
21,285.07922,22,1,1979
22,285.07196,23,1,1979
23,285.06488,24,1,1979
24,285.05945,25,1,1979
25,285.05432,26,1,1979
26,285.05038,27,1,1979
27,285.0489,28,1,1979
28,285.04825,29,1,1979
29,285.04144,30,1,1979
30,285.03226,31,1,1979
31,285.02206,1,2,1979
32,285.01703,2,2,1979
33,285.0127,3,2,1979
34,285.0081,4,2,1979
35,285.0015,5,2,1979
36,284.9936,6,2,1979
37,284.98413,7,2,1979
38,284.97345,8,2,1979
39,284.96323,9,2,1979
40,284.95398,10,2,1979
41,284.944,11,2,1979
42,284.9329,12,2,1979
43,284.92435,13,2,1979
44,284.92117,14,2,1979
45,284.92017,15,2,1979
46,284.92242,16,2,1979
47,284.91974,17,2,1979
48,284.91568,18,2,1979
49,284.91397,19,2,1979
50,284.91226,20,2,1979
51,284.9084,21,2,1979
52,284.90176,22,2,1979
53,284.89532,23,2,1979
54,284.89017,24,2,1979
55,284.88718,25,2,1979
56,284.88693,26,2,1979
57,284.88657,27,2,1979
58,284.88785,28,2,1979
59,284.8914,1,3,1979
60,284.89716,2,3,1979
61,284.9028,3,3,1979
62,284.9065,4,3,1979
63,284.9095,5,3,1979
64,284.91364,6,3,1979
65,284.91763,7,3,1979
66,284.91928,8,3,1979
67,284.92078,9,3,1979
68,284.92514,10,3,1979
69,284.93283,11,3,1979
70,284.94022,12,3,1979
71,284.94305,13,3,1979
72,284.9382,14,3,1979
73,284.92892,15,3,1979
74,284.9204,16,3,1979
75,284.91498,17,3,1979
76,284.91486,18,3,1979
77,284.9174,19,3,1979
78,284.92422,20,3,1979
79,284.93497,21,3,1979
80,284.95148,22,3,1979
81,284.9742,23,3,1979
82,285.0055,24,3,1979
83,285.0353,25,3,1979
84,285.05777,26,3,1979
85,285.07742,27,3,1979
86,285.0992,28,3,1979
87,285.1265,29,3,1979
88,285.15198,30,3,1979
89,285.1685,31,3,1979
90,285.1781,1,4,1979
91,285.1878,2,4,1979
92,285.19766,3,4,1979
93,285.20688,4,4,1979
94,285.21548,5,4,1979
95,285.22363,6,4,1979
96,285.231,7,4,1979
97,285.2372,8,4,1979
98,285.24823,9,4,1979
99,285.26477,10,4,1979
100,285.28195,11,4,1979
101,285.2964,12,4,1979
102,285.30518,13,4,1979
103,285.3106,14,4,1979
104,285.3219,15,4,1979
105,285.3291,16,4,1979
106,285.33957,17,4,1979
107,285.352,18,4,1979
108,285.37085,19,4,1979
109,285.3936,20,4,1979
110,285.42102,21,4,1979
111,285.44907,22,4,1979
112,285.47745,23,4,1979
113,285.50354,24,4,1979
114,285.5276,25,4,1979
115,285.54916,26,4,1979
116,285.5669,27,4,1979
117,285.58182,28,4,1979
118,285.60022,29,4,1979
119,285.62152,30,4,1979
120,285.65005,1,5,1979
121,285.66403,2,5,1979
122,285.66974,3,5,1979
123,285.67532,4,5,1979
124,285.6884,5,5,1979
125,285.70367,6,5,1979
126,285.71826,7,5,1979
127,285.73007,8,5,1979
128,285.74643,9,5,1979
129,285.77032,10,5,1979
130,285.79907,11,5,1979
131,285.8277,12,5,1979
132,285.85397,13,5,1979
133,285.8763,14,5,1979
134,285.89838,15,5,1979
135,285.9215,16,5,1979
136,285.94632,17,5,1979
137,285.9757,18,5,1979
138,286.00473,19,5,1979
139,286.03238,20,5,1979
140,286.0634,21,5,1979
141,286.09924,22,5,1979
142,286.1418,23,5,1979
143,286.1841,24,5,1979
144,286.22095,25,5,1979
145,286.2557,26,5,1979
146,286.29105,27,5,1979
147,286.32794,28,5,1979
148,286.361,29,5,1979
149,286.38416,30,5,1979
150,286.40994,31,5,1979
151,286.4753,1,6,1979
152,286.51334,2,6,1979
153,286.55273,3,6,1979
154,286.5865,4,6,1979
155,286.62103,5,6,1979
156,286.66486,6,6,1979
157,286.7171,7,6,1979
158,286.7682,8,6,1979
159,286.81015,9,6,1979
160,286.84723,10,6,1979
161,286.88358,11,6,1979
162,286.92334,12,6,1979
163,286.96103,13,6,1979
164,286.98938,14,6,1979
165,287.00845,15,6,1979
166,287.0344,16,6,1979
167,287.06317,17,6,1979
168,287.09503,18,6,1979
169,287.12964,19,6,1979
170,287.16516,20,6,1979
171,287.19623,21,6,1979
172,287.22238,22,6,1979
173,287.2442,23,6,1979
174,287.2674,24,6,1979
175,287.2905,25,6,1979
176,287.31274,26,6,1979
177,287.3335,27,6,1979
178,287.36124,28,6,1979
179,287.3961,29,6,1979
180,287.43762,30,6,1979
181,287.4979,1,7,1979
182,287.5303,2,7,1979
183,287.55643,3,7,1979
184,287.5845,4,7,1979
185,287.6121,5,7,1979
186,287.64017,6,7,1979
187,287.67197,7,7,1979
188,287.7089,8,7,1979
189,287.7455,9,7,1979
190,287.78647,10,7,1979
191,287.83237,11,7,1979
192,287.8865,12,7,1979
193,287.93835,13,7,1979
194,287.98358,14,7,1979
195,288.02347,15,7,1979
196,288.07626,16,7,1979
197,288.11502,17,7,1979
198,288.1523,18,7,1979
199,288.1793,19,7,1979
200,288.20123,20,7,1979
201,288.21954,21,7,1979
202,288.24002,22,7,1979
203,288.26364,23,7,1979
204,288.29205,24,7,1979
205,288.31882,25,7,1979
206,288.3433,26,7,1979
207,288.36255,27,7,1979
208,288.38,28,7,1979
209,288.4032,29,7,1979
210,288.42624,30,7,1979
211,288.44644,31,7,1979
212,288.43237,1,8,1979
213,288.44565,2,8,1979
214,288.46167,3,8,1979
215,288.479,4,8,1979
216,288.50708,5,8,1979
217,288.54102,6,8,1979
218,288.57812,7,8,1979
219,288.61328,8,8,1979
220,288.65112,9,8,1979
221,288.68564,10,8,1979
222,288.71725,11,8,1979
223,288.73767,12,8,1979
224,288.75006,13,8,1979
225,288.75604,14,8,1979
226,288.75998,15,8,1979
227,288.77246,16,8,1979
228,288.77167,17,8,1979
229,288.77448,18,8,1979
230,288.78125,19,8,1979
231,288.78818,20,8,1979
232,288.79666,21,8,1979
233,288.80408,22,8,1979
234,288.80984,23,8,1979
235,288.81772,24,8,1979
236,288.83066,25,8,1979
237,288.8495,26,8,1979
238,288.8711,27,8,1979
239,288.88284,28,8,1979
240,288.8908,29,8,1979
241,288.896,30,8,1979
242,288.89584,31,8,1979
243,288.84036,1,9,1979
244,288.82996,2,9,1979
245,288.81546,3,9,1979
246,288.80188,4,9,1979
247,288.7945,5,9,1979
248,288.7927,6,9,1979
249,288.7925,7,9,1979
250,288.7904,8,9,1979
251,288.7832,9,9,1979
252,288.77466,10,9,1979
253,288.75977,11,9,1979
254,288.7426,12,9,1979
255,288.72165,13,9,1979
256,288.69473,14,9,1979
257,288.6593,15,9,1979
258,288.62967,16,9,1979
259,288.5984,17,9,1979
260,288.57605,18,9,1979
261,288.55072,19,9,1979
262,288.51776,20,9,1979
263,288.48297,21,9,1979
264,288.454,22,9,1979
